Date,Forecast
2021-07-04,0.039824266
2021-07-11,2.4540617
2021-07-18,-1.9777077
2021-07-25,1.6381363
2021-08-01,-0.18244919
2021-08-08,8.8616905
2021-08-15,4.7525573
2021-08-22,4.528087
2021-08-29,0.49695027
2021-09-05,-1.5131544
2021-09-12,-0.37946913
2021-09-19,6.3497686
2021-09-26,4.908328
2021-10-03,14.786543
2021-10-10,4.082775
2021-10-17,1.2631905
2021-10-24,-1.0790808
2021-10-31,-0.8295249
2021-11-07,-0.61553943
2021-11-14,-0.3137755
2021-11-21,8.499995
2021-11-28,5.9202228
2021-12-05,4.4618316
2021-12-12,0.350987
2021-12-19,-1.8249862
2021-12-26,-0.37946913
2022-01-02,6.5761766
2022-01-09,4.908328
2022-01-16,16.9153
2022-01-23,6.9021897
2022-01-30,2.7037292
2022-02-06,-1.1966786
2022-02-13,-0.8295249
2022-02-20,-1.2220079
2022-02-27,-0.029745223
2022-03-06,8.535039
2022-03-13,5.9202228
2022-03-20,4.4618316
2022-03-27,0.350987
2022-04-03,-1.8249862
2022-04-10,-0.37946913
2022-04-17,6.7788315
2022-04-24,3.9231305
2022-05-01,11.614235
2022-05-08,15.188954
2022-05-15,3.7922022
2022-05-22,1.3827293
2022-05-29,-1.1849862
2022-06-05,-1.5938091
2022-06-12,-0.9531997
2022-06-19,8.756489
2022-06-26,6.2519345
2022-07-03,4.503794
2022-07-10,0.350987
2022-07-17,-1.7301801
2022-07-24,-0.37946913
2022-07-31,10.298596
2022-08-07,4.357652
2022-08-14,11.606916
2022-08-21,16.903063
2022-08-28,4.4673796
2022-09-04,1.9638962
2022-09-11,-1.2175641
2022-09-18,-1.5938091
2022-09-25,-0.8708722
2022-10-02,8.756489
2022-10-09,16.498238
2022-10-16,8.268469
2022-10-23,0.5325121
2022-10-30,-1.9276174
2022-11-06,-0.71992993
2022-11-13,2.32792
2022-11-20,0.023206873
2022-11-27,8.499995
2022-12-04,13.5422325
2022-12-11,6.2454042
2022-12-18,2.717576
2022-12-25,-1.9470952
